1,Тестирование Дот Ком,Роман Савин,книга,https://s3.us-west-2.amazonaws.com/secure.notion-static.com/ab1f2265-5dff-46da-b5ad-53ec2c185608/%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%D0%94%D0%BE%D1%82%D0%9A%D0%BE%D0%BC.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45EIPT3X45%2F20221203%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20221203T122525Z&X-Amz-Expires=86400&X-Amz-Signature=ef8ab2faa1c94a7645fa1ee4b3afd1cad2a95c0bce64fc7d579daf52375632f6&X-Amz-SignedHeaders=host&response-content-disposition=filename%3D%22%25D0%25A2%25D0%25B5%25D1%2581%25D1%2582%25D0%25B8%25D1%2580%25D0%25BE%25D0%25B2%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B5%25D0%2594%25D0%25BE%25D1%2582%25D0%259A%25D0%25BE%25D0%25BC.pdf%22&x-id=GetObject
2,Изучаем SQL,Алан Бьюли,книга,https://s3.us-west-2.amazonaws.com/secure.notion-static.com/a719f38b-2c5e-4297-93f2-854f2a72d829/%D0%98%D0%B7%D1%83%D1%87%D0%B0%D0%B5%D0%BC_SQL_%28_PDFDrive_%29.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45EIPT3X45%2F20221203%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20221203T122546Z&X-Amz-Expires=86400&X-Amz-Signature=18f7879fc5e38bd48b35cc8d8bdf65c263e00f795f1a80e1bb59c308a2a828c1&X-Amz-SignedHeaders=host&response-content-disposition=filename%3D%22%25D0%2598%25D0%25B7%25D1%2583%25D1%2587%25D0%25B0%25D0%25B5%25D0%25BC%2520SQL%2520%28%2520PDFDrive%2520%29.pdf%22&x-id=GetObject
3,Bash-скрипты руководство в 11 частях,Администратор likegeeks.com ,материал,https://s3.us-west-2.amazonaws.com/secure.notion-static.com/36be8b44-f9db-4cda-91d3-d96d169a50fd/Bash-%D1%81%D0%BA%D1%80%D0%B8%D0%BF%D1%82%D1%8B_%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE_%D0%B2_11_%D1%87%D0%B0%D1%81%D1%82%D1%8F%D1%85.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45EIPT3X45%2F20221203%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20221203T122557Z&X-Amz-Expires=86400&X-Amz-Signature=c2d2a6561fc3bac837244811f3a7da2660755b91de630d35db43a1651d0381f2&X-Amz-SignedHeaders=host&response-content-disposition=filename%3D%22Bash-%25D1%2581%25D0%25BA%25D1%2580%25D0%25B8%25D0%25BF%25D1%2582%25D1%258B%2520%25D1%2580%25D1%2583%25D0%25BA%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B4%25D1%2581%25D1%2582%25D0%25B2%25D0%25BE%2520%25D0%25B2%252011%2520%25D1%2587%25D0%25B0%25D1%2581%25D1%2582%25D1%258F%25D1%2585.pdf%22&x-id=GetObject
4,Bash. Карманный справочник системного администратора,Арнольд Роббинс,книга,https://drive.google.com/file/d/1Yh1HtlN3wBek4-RRiASl7ri6vuO8eZOQ/view?usp=sharing
5,Тестирование черного ящика,Борис Бейзер,книга,https://drive.google.com/file/d/1Fo1ORGg5LJD1gTkEWvqzEJrIkYQ2kCPn/view?usp=sharing
6,Введение в реляционные базы данных,Дейт,книга,https://drive.google.com/file/d/1VqXLvTV1xtm-sTjJyFN0ZIGtWW4vlyGe/view?usp=sharing
7,Вселенная тестирования или Как стать тестировщиком,Polina Simonova,курс,https://stepik.org/lesson/749674/step/1?unit=751485
8,Упражнения по SQL,Лысенко Олег Валерьянович,упражнения,https://www.sql-ex.ru/
9,Библиотека тестировщика: обзор полезных книг по тестированию ПО,habrahuser,статья,https://habr.com/ru/company/skillbox/blog/694548/
10,Рассеиваем туман. Инструменты и полезная литература для Junior QA,Sooofi,статья,https://habr.com/ru/post/694696/
11,Собеседование тестировщиков - QA engineer interview,Tallinn Learning,видео,https://www.youtube.com/watch?v=YCABZPyQbt0&ab_channel=TallinnLearning
12,Что такое API,Academy NWZ,видео,https://www.youtube.com/watch?v=vPVAYsc-U60
13,14 самых вдохновляющих статей о тестировании ПО,MaxRokatansky,статья,https://habr.com/ru/company/otus/blog/551266/
